"Combined unit of measure: Tonnes of CO2-equivalent, Thousands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,"103,985.69","104,006.31","105,287.66","104,828.03","107,457.58","109,581.12","112,615.84","117,470.46","122,993.73","122,985.87","126,659.45","127,731.03","127,719.17","131,569.00","132,215.07","136,748.14","133,270.71","135,855.39","132,481.94","125,261.39","119,159.95","116,179.12","112,923.95","103,262.34","99,837.26","95,965.29","92,274.52","96,110.32","92,857.12","86,153.27","75,464.49","77,488.83"
Hungary,,"94,985.02","88,674.84","78,847.28","79,865.04","78,750.64","77,647.68","79,804.30","78,308.29","77,784.49","78,248.03","75,378.31","77,184.98","75,478.63","78,367.70","77,192.05","76,954.88","75,660.29","74,010.83","71,954.60","65,924.48","66,533.79","64,870.17","61,557.12","58,661.11","58,993.14","62,201.09","62,696.22","65,072.76","65,033.64","64,771.79","62,965.32","64,217.84"
Iceland,,"3,682.04","3,475.79","3,409.12","3,496.42","3,424.41","3,554.69","3,615.81","3,774.47","3,907.36","4,123.13","4,154.23","4,049.73","4,143.91","4,106.87","4,210.92","4,059.34","4,619.42","4,924.32","5,307.80","5,001.50","4,906.35","4,692.25","4,686.90","4,694.67","4,687.52","4,772.71","4,715.54","4,799.70","4,870.41","4,723.90","4,521.06","4,662.24"
Ireland,,"55,642.84","56,553.46","56,589.56","57,186.83","58,593.62","60,080.66","62,245.17","63,683.62","66,292.46","67,523.41","69,712.38","71,814.45","69,975.20","70,468.50","69,723.02","71,531.48","71,019.46","69,874.87","69,330.44","63,528.26","63,032.16","58,852.53","59,939.51","59,711.61","59,220.74","61,724.03","64,005.36","63,424.53","63,734.11","61,165.04","59,056.30","62,109.87"
Israel,,,,,,,,"57,653.00",,,,"67,162.86",,,"69,312.53","69,588.86","70,182.45","71,559.94","74,738.49","76,143.13","72,457.54","75,241.03","77,722.49","83,374.95","77,818.17","75,535.87","78,734.18","78,619.09","77,831.10","78,286.03","79,171.40","77,674.84",
Italy,,"521,480.34","522,696.67","521,991.35","515,159.96","509,371.39","535,653.71","530,375.91","538,111.37","550,585.99","556,140.38","559,978.14","561,839.95","567,753.08","587,247.89","592,903.42","594,197.38","584,053.07","578,814.48","566,242.97","511,654.99","523,465.70","510,854.61","491,949.91","456,475.72","435,399.33","445,735.65","442,962.28","437,340.98","433,630.91","422,276.17","384,969.88","417,591.43"
Japan,,"1,269,334.03","1,283,796.29","1,295,612.02","1,291,392.14","1,352,429.76","1,373,818.25","1,386,747.60","1,378,810.24","1,330,304.19","1,353,662.40","1,373,303.42","1,347,561.43","1,371,613.88","1,378,452.03","1,369,829.30","1,377,463.88","1,356,080.25","1,391,300.26","1,318,507.42","1,246,549.62","1,300,046.75","1,350,741.14","1,393,594.16","1,405,350.42","1,356,511.02","1,317,836.20","1,300,146.77","1,286,736.26","1,242,715.71","1,207,742.42","1,144,932.50","1,168,094.47"
Korea,,"292,105.06","315,352.61","343,354.15","378,545.97","403,568.61","433,787.92","470,280.30","501,912.25","431,434.46","469,414.83","502,730.45","516,008.72","538,458.07","548,808.43","557,058.76","561,521.94","567,057.02","580,468.84","594,047.09","598,040.34","656,119.74","684,756.04","688,043.70","697,297.56","692,088.95","692,626.49","693,687.73","710,645.38","726,977.59","701,213.74","656,222.88",
Latvia,,"26,022.70","24,132.74","19,362.02","15,905.35","13,958.30","12,589.83","12,639.33","12,080.47","11,576.37","10,790.40","10,167.78","10,760.03","10,727.99","10,921.16","10,862.71","11,020.37","11,489.43","11,935.99","11,475.38","10,790.56","11,857.88","11,066.32","10,884.33","10,800.43","10,712.58","10,744.79","10,742.11","10,776.10","11,272.33","11,131.87","10,483.14","10,725.29"
Lithuania,,"48,134.54","50,100.69","31,026.93","24,901.78","23,515.74","22,486.04","23,469.12","23,021.51","23,912.69","21,098.26","19,493.65","20,266.18","20,626.07","20,792.93","21,592.72","22,439.80","22,756.10","24,730.03","23,832.42","19,826.13","20,741.77","21,104.52","21,085.98","19,954.61","19,857.26","20,155.06","20,220.17","20,344.85","20,013.48","20,244.64","20,165.73","20,251.51"
Luxembourg,,"12,722.41","13,353.28","13,118.29","13,281.35","12,447.63","10,078.52","10,141.47","9,494.70","8,590.88","9,051.27","9,635.00","10,137.26","10,915.32","11,366.76","12,740.93","12,993.83","12,824.48","12,236.27","12,126.21","11,584.16","12,159.05","12,040.48","11,804.17","11,281.31","10,785.44","10,313.87","10,077.82","10,259.74","10,563.28","10,739.99","9,029.90","9,390.73"
Mexico,,"467,413.12","477,528.93","479,929.69","483,660.29","513,962.00","503,565.25","521,689.45","551,984.37","577,829.13","569,142.31","587,814.41","583,999.14","606,421.94","606,865.07","626,816.97","636,926.16","653,275.45","687,425.94","736,252.57","721,705.01","719,697.30","737,876.95","722,401.90","735,453.19","734,998.19","745,778.83","785,540.39","757,106.36","765,600.79","736,629.57",,
Netherlands,,"221,781.04","229,711.99","230,151.10","230,464.25","231,199.86","231,305.57","241,662.09","233,328.50","233,540.16","221,071.12","219,454.92","220,583.20","218,256.53","218,993.83","220,479.00","214,666.95","209,523.76","208,077.85","207,941.41","202,300.72","214,236.64","199,922.92","195,581.75","195,278.02","187,053.58","194,015.91","194,644.49","191,991.17","186,759.63","180,936.87","164,367.79","167,153.25"
New Zealand,,"64,720.07","65,688.43","66,834.98","66,693.83","67,859.23","68,394.70","70,551.54","73,381.52","71,186.87","72,975.47","74,850.47","77,755.79","77,682.44","79,827.39","79,669.24","81,752.18","81,773.36","79,673.33","79,350.40","76,647.31","77,328.02","77,106.15","79,086.91","78,430.01","79,212.63","79,036.99","76,930.22","78,511.40","78,776.30","79,989.79","77,330.66","76,824.59"
Norway,,"50,712.45","48,339.04","46,706.77","48,598.68","50,502.11","50,834.46","53,717.34","53,693.41","53,765.44","54,741.37","54,074.16","55,298.62","54,172.91","54,947.55","55,427.98","54,471.72","54,568.94","56,272.87","54,881.82","52,541.06","54,925.06","53,999.15","53,380.67","53,615.08","53,906.70","54,362.82","53,447.03","52,678.81","52,702.97","50,958.22","49,214.64","48,901.96"
Poland,,"474,554.32","463,180.04","450,856.64","450,937.34","444,827.53","446,731.87","460,383.54","450,012.33","419,389.77","407,531.80","393,992.73","392,522.97","382,301.82","395,538.58","400,799.43","400,708.69","415,341.30","414,652.83","407,857.18","389,826.82","407,236.96","405,798.76","397,900.73","393,881.54","381,064.72","383,395.33","394,315.27","409,003.18","409,003.95","386,386.36","371,312.43","399,438.49"
Portugal,,"59,473.35","61,397.49","65,243.11","63,745.47","64,652.63","69,306.34","67,012.82","70,199.50","75,058.70","83,168.64","82,420.02","81,939.94","86,394.95","81,299.15","84,520.57","86,489.22","81,649.47","79,325.45","76,900.51","73,810.11","69,529.86","68,058.17","66,076.81","64,156.75","64,041.76","68,178.64","66,351.94","71,404.00","67,764.99","64,115.51","58,029.35","56,359.41"
Slovak Republic,,"73,738.67","64,343.41","58,624.79","55,242.88","52,686.66","53,179.97","52,997.96","52,819.66","52,118.31","50,854.29","48,986.21","51,256.63","49,870.15","49,973.50","50,679.97","50,666.31","50,444.97","48,699.38","49,214.16","44,955.41","45,766.63","44,839.90","42,451.37","42,131.22","40,140.20","40,869.58","41,318.67","42,419.28","42,276.43","39,955.73","37,187.89","41,226.49"
Slovenia,,"18,797.65","17,447.82","17,432.26","17,667.82","18,082.34","18,863.25","19,463.62","20,003.94","19,600.93","18,985.92","18,769.38","20,040.57","20,318.61","19,987.83","20,386.44","20,643.29","20,833.67","21,020.41","21,743.29","19,566.60","19,797.93","19,716.01","19,083.14","18,382.00","16,726.12","16,912.47","17,790.03","17,870.43","17,689.13","17,204.83","15,974.78","16,106.48"
Spain,,"287,710.27","295,442.80","304,833.84","294,733.41","310,885.53","327,011.05","318,543.26","332,619.65","342,182.98","368,362.64","383,276.36","382,042.84","400,722.45","407,928.77","423,589.74","438,759.63","432,096.73","442,831.80","409,174.52","369,811.13","354,652.28","354,632.15","347,509.27","320,452.33","321,937.43","333,623.41","321,649.70","334,703.52","328,905.09","309,814.17","272,244.36","288,847.82"
Sweden,,"71,478.31","71,587.78","71,252.64","71,468.07","73,940.30","73,326.17","77,239.00","72,345.72","72,734.23","69,602.79","68,349.11","69,128.53","69,735.21","70,071.46","69,410.33","66,540.93","66,183.72","65,034.88","62,627.99","58,395.26","64,375.65","60,012.26","57,108.55","55,473.55","53,729.41","53,557.22","53,468.25","52,562.66","51,784.17","50,607.24","46,214.03","47,816.70"
Switzerland,,"54,933.88","56,818.26","56,567.90","53,980.31","52,929.34","53,818.43","54,468.39","53,252.24","54,784.06","54,585.79","53,839.34","55,364.28","53,808.30","54,870.36","55,465.75","56,089.86","55,758.81","53,816.99","55,211.17","53,726.26","55,306.85","51,186.29","52,516.28","53,361.84","49,425.48","48,903.48","49,211.98","48,245.13","46,741.17","46,470.47","43,789.74","45,135.72"
Türkiye,,"219,526.15","226,794.72","233,132.48","240,771.75","234,387.83","248,248.91","267,581.39","278,813.84","280,318.96","277,776.80","298,916.75","279,740.14","285,623.37","304,794.79","314,423.57","337,575.00","358,002.53","391,697.01","388,494.56","395,177.14","398,793.16","428,617.59","448,184.46","440,195.30","459,489.51","474,967.53","501,107.91","528,565.93","523,108.03","508,725.87","523,990.82","564,389.75"
